Row,r,p
OLG/L4_5/L5_6,0.399268306831057,0.3372
L4_5,0.54588924199645,0.0036
OLG,0.500754666826487,0.0278
RELN,0.535343052420116,0.0048
L5_6,0.534758175404925,0.0056
L4_5/RELN,0.531819372513134,0.004
OLG/L5_6,0.415467783397399,0.2944
L4_5/L5_6,0.514060139616562,0.0104
OLG/L4_5,0.482797980366019,0.0406
RELN/L5_6,0.522389374972698,0.0058
OLG/L4_5/RELN/L5_6,0.304112817870267,0.8698
OLG/RELN,0.464066213006359,0.081
L5_6/RELN,0.522389374972698,0.0058
OLG/L4_5/RELN,0.386332296028463,0.42
OLG/L5_6/RELN,0.379936599651594,0.477
L4_5/L5_6/RELN,0.507786852729245,0.0094
