cell_type,Default Mode,Dorsal Attention,Frontoparietal,Limbic,SomatoMotor,Ventral Attention,Visual
ASC,1.6581450490589609,0.26311393208500145,0.7687500831060537,1.346785107967157,1.5587404765953508,2.0131314484090472,-1.2990701066926942
EC,2.1938934696043977,-1.1892237965942798,-0.41846098375111435,1.3742913194817108,1.7356887433433072,-0.2727342100930089,-1.5948656871868028
MG,2.7799949158088038,-0.6718723086988547,0.4403010921659168,3.1798164077268583,1.147263044198597,2.156988458550193,-1.4137601550385548
OLG,-1.7246698747258389,0.770119087049599,0.2940500642445122,-1.1380061992030852,0.831530163491015,-0.8868999520977642,-0.09414224880461233
OPC,2.1936308409461582,-0.5008772830554654,0.7358563534252552,2.297958722367701,0.9160705518545785,1.7123180182154665,-1.6978306912037062
VLMC,4.068768754193079,-0.502689791441136,-0.7526957449429631,1.3169561777162557,0.5531931446372739,-0.11296696137929939,-1.2744843837686592
L2,0.4149112109763082,0.5170217950362925,-0.8770161942682747,1.602467080130511,-0.22660814742710605,2.018826342635353,2.8776033786833946
L2_3,-1.7979494051313871,-0.30030194690578227,2.0891831167854735,-4.3238888349399405,-1.5957416194235807,-2.019685804966596,2.957492727102472
L2_3_4,1.195319734060277,-0.5593479075032279,-2.25990150397036,2.983315084444506,-0.4797240309821589,0.6616484857117736,-0.1821876846391319
L3_4,-0.9084949195351522,-0.5635991929365359,1.7074014406820042,-2.111476930151138,1.8901902188226123,-3.513859358825495,-1.0749943035232907
L3_4_5,-1.3265402671765396,0.7035305923196847,0.04128130473073818,-1.1957417708739548,1.06715255312962,-0.6236012748877352,-0.4639748942295491
L4,-1.4023978511080464,-0.40371963856442633,-0.6811862751468382,-0.538607661007306,-1.3705786883006688,-1.5157258658269022,0.6934051406016257
L4_5,2.235036322491858,1.1340681768103613,0.2666709629537638,0.18346120881722544,-0.7316550067055516,1.343247637218718,-0.3380435042212127
L4_5_6,-0.14794985701348207,0.6458925293037376,-1.1851332371612464,1.0442598726364138,-1.0344126915920036,0.27271930219228996,1.085637031640815
L5_6,3.2164460508531416,0.5300916959925832,-0.7183081718611973,-0.18573669090681474,-0.405853325790771,3.5007201291738186,-0.5324507331772235
L6,1.799810018242383,-2.0658969489194647,0.33242104537736517,2.6911631506416427,-0.4889716972504122,3.888601057231376,-1.18757240607027
LAMP5,1.846574370067122,0.8374421859266878,0.7027628450203638,1.2526861314720372,0.6437358726871386,1.4822117044199734,-1.0442423979444075
PVALB,-0.183849978032051,-0.3854734271681684,-0.6777451098030578,0.34824578835549513,2.161077106793174,-1.025802373285394,-1.986393504543431
PV_CHC,2.223764700626776,-1.0473190901084142,1.175254504076388,1.1741237718005821,0.5377526747649001,0.837504900440301,-1.5156084069789482
RELN,3.0674483943564725,0.32395058780697833,1.2913622613122713,1.7765767399002583,0.8709133759874125,2.260060878965475,-1.1551708213399676
SST,2.0492906588484066,-0.10791663798326688,-0.6333173262953239,1.3490128631639282,1.188107554755464,3.0609906256841213,-0.549945269016033
VIP,3.402857936727426,0.2591934594033186,0.4151814625545561,2.2001767644010513,-0.5591469226419259,1.0037172763840145,-0.4411628624915083
VIP_RELN,1.848174025218901,1.278110923935335,0.4492406992354153,-0.19999889452350866,1.950226861616723,1.095906000186827,-0.544335666427009
