,cell_type,age_effects_r,age_effects_p,similarity_strength_r,similarity_strength_p
18,PV_CHC,-0.38834167930583136,0.006798640271945611,-0.07518885654107464,0.4843031393721256
19,RELN,-0.2291543257878683,0.09698060387922415,-0.16001481930989042,0.1245750849830034
4,OPC,-0.17097433651005947,0.23395320935812838,-0.04419949486926115,0.671865626874625
0,ASC,-0.1403970699017929,0.34093181363727254,-0.054560652115479745,0.5976804639072185
21,VIP,-0.13594272342774763,0.35952809438112376,0.004050821568805355,0.9674065186962607
14,L5_6,-0.12761692274939695,0.3935212957408518,-0.2385548625254423,0.02579484103179364
20,SST,-0.11462735717280773,0.4513097380523895,-0.08941459663922041,0.40271945610877824
16,LAMP5,-0.09386280586361558,0.5500899820035993,-0.0023763725903957235,0.9822035592881424
12,L4_5,-0.08505544817225438,0.5916816636672666,-0.2771871281528934,0.011397720455908818
2,MG,-0.07382449119422026,0.643871225754849,-0.01159571253062952,0.9162167566486703
1,EC,-0.06296499999192813,0.6894621075784843,-0.029795359001617717,0.7812437512497501
15,L6,-0.05660374211100271,0.7268546290741852,0.01971183984615542,0.8470305938812237
7,L2_3,-0.028030239061495463,0.8644271145770845,-0.020562739080603753,0.8402319536092782
5,VLMC,-0.02305343499153207,0.8844231153769246,-0.010083600724174975,0.9264147170565887
9,L3_4,-0.008155597824305914,0.9636072785442912,-0.000841547717408065,0.9936012797440512
10,L3_4_5,-0.005654227671254362,0.974005198960208,0.009187315067165783,0.9324135172965407
13,L4_5_6,0.020683541137058763,0.8960207958408318,0.09481212404851719,0.3745250949810038
6,L2,0.03289293344738328,0.8396320735852829,0.0746257034675786,0.4891021795640872
17,PVALB,0.045766268432354214,0.7800439912017596,-0.06037865110668449,0.5652869426114777
22,VIP_RELN,0.06795496992312972,0.6726654669066187,-0.12309258385650469,0.2465506898620276
8,L2_3_4,0.08168212976413686,0.6092781443711258,0.051890112089826454,0.6152769446110777
3,OLG,0.09422977449566863,0.5482903419316136,0.18520807408414167,0.07558488302339532
11,L4,0.20013943226801179,0.15976804639072187,0.10939765105668979,0.30293941211757647
